;汉字	;希顶	备注	汉希提示	希汉提示
䜣	ij3	旧拼写	-	-
讻	ix3			
𬣞	iHA			
孖	2HL			
𬘓	xu8a			
纩	aciT			
玒	3g3			
玓	3suL			
玘	qE3			
玚	DuT3			
刬	juYl			
𫭟	dFi6			
坜	dvi6			
坉	d78	tún		
坉	Fi8d	dùn 古同“沌”	-	
扽	788			
𫭢	dv8			
坋	df8			
扺	H68			
㧑	8wE			
毐	ddiA			
芰	yHua			
芣	ybA			
苊	y4e			
苉	ype			
芘	pEy	pí 用于“芘芣”	芘芣	
芘	ybE	bì		
芴	yw8			
芠	ywi8			
𫇭	ywE			
芤	k3y			
杕	cda			
杙	c7e			
杄	cq2			
杧	mTc			
杧	cwiT	旧拼写	-	-
杩	cma			
尪	twT			
尪	hwT	旧拼写	-	-
尨	miTH			
轪	qda			
𫐄	wiYq			
坒	BE			
芈	m1H			
旴	byA			
旵	wrE			
呙	goH			
呙	woH	旧拼写	-	-
㕮	o4iA			
岍	wkY			
𫵷	wvi6			
岠	w5V			
岜	wba			
呇	7iVo			
冏	ju3V			
觃	THL			
岙	yuLw			
伾	VpE			
㑇	z6V			
伭	xu2V			
佖	Vb6			
伲	VnE			
佁	NiTV			
飏	yTbH			
狃	n6v			
闶	mkT			
汧	EkY			
汫	EN8			
𣲘	Ew6			
𣲗	EwiV			
沄	Eyu8			
沘	EbE			
𬇙	bVE			
汭	ErV			
㳇	E4iA			
沇	Ev3			
忮	YHua			
忳	Fi8Y	dùn 无知的样子 / zhūn 诚恳的样子		
忳	Y78	tún 忧郁烦闷	~郁邑	
忺	Yqo			
𬣡	juYi			
祃	uma			
祃	tma	旧拼写	-	-
诇	ju3i			
邲	1b6			
诎	doi			
诐	piLi			
诐	ip6	旧拼写	-	-
屃	xHue			
屃	bVp	旧拼写	-	-
𫸩	k6lH			
岊	jow			
岊	paw	旧拼写	-	-
阽	1z2			
䢺	1DA			
阼	1za			
妧	Ayuo			
妘	Ayu8			
𨚕	ciY1			
纮	ah3			
驲	grE			
𫘜	gwi8			
纻	aHA			
𬘘	4u8a			
𫘝	jueg			
纼	n3a			
玤	h63			
玞	34ia			
玱	3DuT			
玟	3wi8			
邽	1BV			
邿	1HuT			
坥	NiAd			
坥	dNiA	旧拼写	-	-
坰	ju3d			
坬	dBa			
坽	dli8			
弆	ciYd			
耵	Tdi8H			
䢼	1gi3			
𦭜	yzE			
茋	ydiT			
苧	yn8			
苾	yb6			
苠	ymi8			
枅	ykY			
㭎	cgT			
枘	crV			
枍	ccE			
矼	gTs			
矻	ges			
匼	qac			
𬨂	H6q			
𬀩	bwiV			
𬀪	bjV			
旿	wAb			
昇	bfiL			
昄	b2b			
昒	bw8			
昈	bfio			
咉	oyT			
咇	ob6			
咍	otY			
岵	wgA			
岽	wd3			
岨	NiAw			
岞	zow			
峂	wdi3			
㟃	wHo			
囷	li3H			
𬬩	N7eH			
钐	cieN			
钔	Nm8			
钖	DuTN			
钖	tDuTN	旧拼写	-	-
牥	gfT			
佴	Vre			
垈	ddY			
侁	Vx2			
侹	Vti8			
佸	VfL			
佺	Vqu2			
隹	zVH			
㑊	V5iL			
侂	VDua5			
佽	VHuV			
侘	VzuY			
郈	1h6			
舠	qdL			
郐	1cY			
郃	1hie			
攽	p2rH			
肭	nae			
肸	ehuE			
肷	eqo			
狉	vpE			
狝	vnu8			
饳	LDA			
忞	Fwi8			
於	7iL			
炌	xje			
炆	xwi8			
泙	Epi8			
沺	Etie			
泂	ju3E			
泜	EdiT			
泃	ENA			
泇	Eja			
怊	BLY			
峃	xuew			
穸	f5ia			
祋	u5T			
祋	t5T	旧拼写	-	-
祊	ufT			
祊	tfT	旧拼写	-	-
𫍣	it3			
𬣳	h8i			
𬩽	15i8			
鸤	nHue			
弢	ltL			
弨	lzL			
陑	1nuY			
𬮿	kY1			
𬮿	1kY	旧拼写	-	-
陎	1zAH			
𬯀	jE1			
卺	eBi3			
乸	ADE			
妭	Abia			
姈	Ali8			
𫰛	j8A			
迳	j8zH			
迳	j8z	旧拼写	-	-
叕	dioH			
𬳵	gpE			
驵	NiAg			
𬳶	ju3g			
䌹	ju3a			
驺	BiLg			
𫠊	xu2gH			
𫠊	xu2g	旧拼写	-	-
绋	a4iL			
绐	dYa			
砉	h1			
耔	7HL			
㛃	AqV			
玶	3pi8			
珇	cia3			
珅	3s8			
𬍛	vY3			
珋	vi63			
玹	xu23			
珌	3b6H			
珌	3b6	旧拼写	-	-
玿	sL3			
韨	pbia			
垚	3tA			
垯	ddia			
垙	dBT			
垲	kYd			
埏	dyY			
垍	dt1			
耇	tgi6			
耇	tNiA	旧拼写	-	-
鿍	djuT			
垎	lod			
垴	nLd			
垟	dyuT			
垞	dzuY			
挓	8zuY			
垵	dNi2			
垏	dciY			
拶	418			
拶	4ua8	旧拼写	-	-
荖	ylL			
荁	f6y			
荁	gi8y	旧拼写	-	-
荙	ydia			
荛	ruLy			
茈	yHV	cí 用于“凫茈”	凫~	
茈	HuLy	zǐ		
茽	yz3			
荄	gYy			
茺	D3y			
𬜬	ywi8o			
荓	pi8y			
茳	juTy			
𦰡	yna			
茛	yg8			
荭	yh3a			
㭕	cFiV			
柷	cxu3			
柃	cli8			
柊	cdi3			
枹	cbL			
栐	cvi3			
柖	sLc			
郚	1wi6			
剅	ldi6			
䴓	HTn			
迺	z5a			
厖	miT5			
砆	s4ia			
砑	sya			
砄	jues			
耏	anuY			
奓	4uaH			
䶮	vti2			
轵	qzE			
轷	qhiA			
轹	vYq			
轺	qzL			
昺	bi8b			
𪾢	TjV			
昽	bl3			
盷	53T			
咡	ore			
咺	f6o			
咺	gi8o	旧拼写	-	-
昳	di2b	dié		
昳	5Yb	yì 用于“昳丽”	~丽	
昣	z8b			
哒	odia			
昤	bli8			
昫	Fob			
昡	xu2b			
咥	deo			
昪	ciYb			
虷	kgi2			
虸	kHL			
哃	ot3			
峘	f6w			
峏	wnuY			
峛	wlie			
𪨰	wFE			
峗	wiVw			
峧	wjL			
帡	pi8pH			
钘	x8N			
钘	NkY	旧拼写	-	-
𫓧	N4ia			
钜	N5V			
𬬮	BiTN			
𬬱	Nj3			
𬬭	Nv8			
钪	NkT			
钬	Nho			
钭	Nd6			
矧	n37			
秬	h5V			
俫	VlY			
舁	ju6t			
俜	Vp1			
俙	VxE			
俍	lTV	lǎng	-	
俍	VliT	liáng		
垕	dh6			
衎	k2m			
舣	q5Y			
弇	4i2			
侴	n6l			
鸧	nDuT			
䏡	HuTe			
胠	eqA			
𦙶	egA			
胈	ebia			
胩	kae			
胣	toe			
朏	eDA			
飐	bz2			
訄	h7iY			
饻	LyE			
庤	Ha5			
疢	tho			
炣	xkie			
炟	diaxH			
炟	diax	旧拼写	-	-
㶲	xy3			
洭	EcT			
洘	EkL			
洓	HueEH			
洿	Eca			
㳚	EwiAd			
泚	EHV			
浈	Eci8			
浉	EnuV			
洸	EBT			
洑	E46			
洢	5LE			
洈	wiVE			
洈	BVE	旧拼写	-	-
洚	EjuT			
洺	mi8E			
洨	EjL			
浐	DYE			
㳘	D3E			
洴	pi8E			
洣	EmE			
恔	YjL			
宬	fD8			
窀	Fi8f			
扂	diVp			
袆	uwiV			
祏	sEu			
祏	sEt	旧拼写	-	-
祐	u7i6			
祐	t7i6	旧拼写	-	-
祕	ub6			
祕	tb6H	旧拼写	-	-
叚	xaH			
陧	ne1			
陞	1dfiL			
娀	ru3A			
姞	ANo			
姱	Aca			
姤	gi6A			
姶	Ahie			
姽	BiVA			
枲	dYc			
绖	aHY			
骃	gy8			
𬘡	ay8			
𬳽	gx2			
𬘩	ati8			
𫄧	ayY			
彖	tV			
骉	3maH			
恝	FqV			
珪	3BV			
珛	yu63			
珹	3D8			
琊	31ya			
琊	3ya1	旧拼写	-	-
玼	3HV			
珖	3BT			
𪟝	lze			
珽	3ti8			
珦	3piT			
珫	D33			
珒	3ciY			
𬍤	35i8			
珢	k83			
珕	3xY			
珝	Fa3			
𫭼	lLd			
埗	dkia			
垾	dh2			
垺	d4iT			
埆	dNe			
垿	d7L5			
埌	lTd			
埇	dyu3			
莰	yki2d			
茝	NTy			
𬜯	m2H			
鄀	ro1			
莶	quYy			
莶	yquY	旧拼写	-	-
莝	Doy			
䓖	yq3			
莙	yju8			
栻	cHT			
桠	cyua			
𬂩	cac			
桄	cBE			
梠	vioc			
栴	cfte			
栴	cteV	旧拼写	-	-
梴	cyY			
栒	cxu8			
酎	Du84			
酏	4DE			
𫠆	rHua			
砵	sb8			
砠	NiAs			
砫	ska			
砬	las			
硁	j8s			
恧	FnuY			
翃	nh3H			
郪	1NiL			
𨐈	qBT			
辀	qzu6			
辁	qqu2			
𬌗	jhie			
剕	lfV			
赀	HuLx			
哢	l3o			
晅	f6b			
晅	gi8b	旧拼写	-	-
晊	bHY			
唝	oxg3			
哳	ozueH			
哱	obo			
冔	obyA			
冔	boyA	旧拼写	-	-
晔	bfa			
晐	gYb			
晖	hVbH			
畖	4Ba			
蚄	kfT			
蚆	kba			
𫑡	ci31			
𫑡	ci81	旧拼写	-	-
帱	pD6	chóu 帐子；车帷		
帱	FiLp	dǎo 覆盖	-	
崁	ki2w			
峿	wwi6			
𪨶	wDue			
崄	quYw			
崄	juYw	旧拼写	-	-
帨	psuV			
崀	lTw			
赆	xN3H			
赆	xj8	旧拼写	-	-
𬬸	NsA			
钷	Npo			
𬬻	Nva			
𬬹	Ns8			
𬬿	sLN			
𬭁	NmA			
眚	Tsu3			
甡	2su3H			
笫	HL2			
倻	yeVH			
倴	b8V			
脩	y6e			
倮	lioV			
倕	VDV			
倞	liTV	liàng		
倞	VNi3	jìng	-	
𫢸	d2V			
倓	t2V			
倧	zu3V			
衃	jpE			
虒	g1H			
舭	qbE			
舯	qz3			
舥	paq			
瓞	di22			
鬯	DuT4H			
鬯	p6u	旧拼写	-	-
鸰	nli8H			
脎	esa			
朓	tiLe			
胲	ehY			
虓	vju6H			
虓	hhiL	旧拼写	-	-
鱽	BdL			
狴	vBE			
峱	vn6w			
狻	ju8v	jùn	-	
狻	sov	suān		
眢	tVT			
𫗧	Ls3			
勍	lNi3H			
勍	lNi3	旧拼写	-	-
痄	tza			
疰	tka			
痃	xu2t			
竘	Fof			
羖	g5T			
羓	pag			
桊	cju2			
桊	quoc	旧拼写	-	-
敉	rmE			
烠	yu6xH			
烔	xt3			
烶	xti8			
烻	xyY			
𬊈	x5i8			
涍	ExuL			
浡	Ebo			
浭	Egi8			
浬	ElE			
涄	Ep1			
涢	E7i2			
涐	4ioE			
浰	EvV			
浟	y6E			
浛	Ehi2			
浼	Emi2			
浲	fi3E			
涘	ENY			
悈	YN2			
悃	c8Y			
悢	YliT			
𬒈	xues			
宧	NTf			
窅	Tk3			
窊	giAf			
窎	fnuL			
扅	5Tp			
扆	pyE			
袪	uqAH			-
袪	uqA	旧拼写	-	-
袗	z8u			
袯	upio			
祧	tiLu			
祧	tiLt	旧拼写	-	-
隺	queH			
隺	quenH	旧拼写	-	-
堲	dNiY			
疍	Dd2			
疍	fd2	旧拼写	-	-
𨺙	nE1			
陴	b61			
烝	xBi3			
砮	nAs			
㛚	Ayu3			
哿	kja			
翀	Du3n			
翂	nf8			
剟	diol			
𬳿	g7io			
𫄨	axE			
绤	yAa			
骍	g5i3			
𬘫	huYa			
䂮	sqVH			
琎	3N8			
珸	3wi6			
珵	3B8			
琄	ju23			
琈	34iT			
琀	3hi2			
珺	3ju8			
掭	8ti2			
堎	vi8d			
堐	yad			
埼	dNi6			
掎	8Ni6			
埫	sTd			
堌	dga			
晢	bzue			
𫮃	d2d			
掞	t28			
埪	dk3			
壸	fyua			
㙍	diod			
聍	Tn8			
菝	8ybia			
菝	y8bia	旧拼写	-	-
萚	yze8			
菥	y5io			
莿	yHuel			
䓫	NiYy			
勚	lxno			
䓬	yzo			
萆	ybV			
菂	yde			
菍	ynu2			
菼	yyuV			
萣	di8y			
䓨	nu37			
䓨	yyuL	旧拼写	-	-
菉	ylA			
䓛	yjuo			
梼	FiLc			
梽	Hu6c			
桲	cbo			
梾	clY			
桯	cB8			
梣	4i3c			
梌	c7io			
桹	lTc			
敔	rwi6			
厣	yua4			
硔	sgi3			
鿎	sdia			
硙	kYs			
硙	sqEw	旧拼写	-	-
硚	squL			
硊	wiVs			
硍	k8s			
勔	mi2l			
䴕	nlie			
龁	gej			
逴	zzo			
唪	ofi3			
啫	zAo			
翈	jan			
㫰	lTb			
晙	ju8b			
畤	4HuT			
𬱖	FiVr			
趼	DkY			
跂	DHua			
蛃	bi8k			
蚲	kpi8			
𬟽	kd3			
蚺	kr2			
啴	D2o			
䎃	nr2			
崧	s3w			
崟	7i8w			
崞	giow			
崒	DuVw			
崌	wjA			
崡	h2w			
铏	Nx8l			
𫓯	NBV			
𫟹	hi3N			
铕	yu6N			
𫟼	Ndia			
铖	ND8			
铘	Nya1			
铚	NHY			
铞	NFiL			
铥	di6N			
铴	tiTN			
牻	miTg			
牿	hiLg			
稆	vioh			
笱	2gi6			
笯	nA2			
偰	VqV			
偡	Vki2			
鸺	nx6			
偭	mi2V			
偲	Vnua			
偁	Vfr2			
㿠	bBT			
鄅	kT1			
偓	Vwio			
徛	zNi6			
徛	VNi6	旧拼写	-	-
衒	xu2m			
舳	qyu6			
舲	qli8			
鸼	nzu6			
悆	F7io			
鄃	c31			
鄃	17o	旧拼写	-	-
瓻	7xE			
䝙	vFi6			
脶	goe			
脞	Doe			
脟	hi6e			
䏲	edV			
䏲	etE	旧拼写	-	-
鱾	qEB			
猇	vhiL			
猊	nEv			
猄	vNi3			
猄	xNi3	旧拼写	-	-
觖	jue7H			
𠅤	fnua			
庱	vi85			
庼	5qu8			
庳	b65			
痓	tHY			
䴔	njL			
竫	Ni8f			
堃	dfT2			
阌	s6m			
羝	gdiT			
羕	yuTH			
焆	ju2x			
烺	lTx			
焌	ju8x			
淏	huLE			
𬇹	Ego			
淟	7eE			
淜	Ep3			
淴	hAE			
淯	E7iT			
湴	E4u3			
涴	Ewi2			
𬍡	tiT3			
㥄	vi8Y			
惛	Yfi8			
惔	FieY			
悰	Bi3Y			
惙	YDuo			
寁	juof			
逭	zBi2			
𬤇	y2i			
𫍯	if6			
袼	ugie			
裈	u58			
祲	q8u			
祲	q8t	旧拼写	-	-
𬤊	isE			
𫍲	is6			
谞	xAi			
艴	h4iL			
弸	b3l			
弶	lNi3			
𬯎	ciV1			
隃	c31H	shū		
隃	17o	yú		
隃	17oH	旧拼写	-	-
婞	x3A			
娵	r6A			
婼	roA			
媖	Anu3			
婳	faA			
婍	ANi6			
婌	AcL			
婫	fi8A	hùn		
婫	Ac8	kūn		
婤	D6A			
婘	quoA			
婠	ABi2			
𬘬	aq8			
𬘭	li8aH			
𬴂	gfV			
𫘦	tLg			
绹	tLa			
𫟅	aNi3			
𬘯	B3a			
骕	gc6			
𫘧	glA			
絜	uqVH			
絜	uqV	旧拼写	-	-
絜	aqV	旧拼写	-	-
珷	w63			
琲	bi33			
琡	3cL			
琟	wV3			
琔	di83			
琭	3lA			
堾	dDu8			
堼	f3d			
揕	8ki2			
㙘	dyL			
堧	dfnuY			
堧	dnuYf	旧拼写	-	-
喆	je2			
堨	jod			
塅	dF2			
堠	dhi6			
絷	HuauH			
絷	Huau	旧拼写	-	-
絷	Huaa	旧拼写	-	-
𪣻	dl6			
𡎚	dpi2			
葜	yqV			
惎	FqE			
萳	yn2			
葙	yxT			
靬	hi2q			
葴	yf6			
蒇	yDeH			
蒈	kiYy			
鄚	1mo			
鄚	1moH	旧拼写	-	-
蒉	yBiV			
蓇	ygiA			
蓇	ygia	旧拼写	-	-
萩	yqu6			
蒐	BiVy			
葰	ju8y			
葎	viey			
鄑	j31			
蒎	ypiY			
葖	tiAy			
蒄	yHB2			
蒄	yB2f	旧拼写	-	-
萹	ybi2			
棤	Duoc			
棽	cN3c			
棽	N3cc	旧拼写	-	-
棫	chio			
椓	zuoc			
椑	cbV			
𬃊	cHE			
鹀	nwia			
椆	D6c	chóu/zhòu		
椆	diLc	diāo	~苕	
棓	biVc			
棬	quoc			
棬	quo8c	旧拼写	-	-
棪	cyuV			
椀	cwi2			
楗	cjuY			
𬷕	pAn			
甦	Vgi8			
酦	4pio			
觌	TpmY			
奡	huLr			
奡	txua	旧拼写	-	-
皕	2biY			
硪	swo			
欹	rNi6			
詟	il3			
𫐐	nEq			
辌	liTq			
棐	cfV			
龂	jj3			
𬹼	jjeH			
黹	up6			
牚	sTj			-
睎	TxE			
晫	bzo			
晪	7eb			
晱	d2b			
𧿹	DmA			
蛑	km6			
畯	ju84			
斝	ood6			
喤	ofiT			
崶	f3w			
嵁	wki2			
𫶇	wdiY			
崾	wyL			
嵅	wf6			
崿	w4o			
崿	4ew	旧拼写	-	-
嵚	wF3			
翙	fien			
𫖮	kYr			
𫖮	rqEw	旧拼写	-	-
圌	DuYm			
圐	l8m			
赑	bV3			
淼	7iV3			
赒	diLx			
鿏	N4uY			
铹	lLN			
𬭊	NdiAc			
铽	N7e			
𨱇	Nq6			
𫓶	ju2N			
锊	hi6N			
锍	li6N			
锎	NkY			
𬭎	Nfh3			
锓	q8N			
犇	3nu6			
颋	rti8			
稌	h7io			
筀	2BV			
筘	28k6			
筜	2dT			
筥	vio2			
筥	vuo2	旧拼写	-	-
筅	2x2			
傃	Vci6			
傉	Vrua			
翛	y6V			
傒	V5i6			
傕	queV			
舾	q5a			
畬	47io			
𫖯	tiLr			
脿	ebiL			
腘	ego			
䐃	li3e			
腙	zu3e			
腒	ejA			
𬱟	wiVr			
鲃	Bba			
猰	vqV			
𫛭	cTn			
猯	DuYv			
㺄	v7o			
馉	fiaL			
凓	EviLH			
凓	EviLE	旧拼写	-	-
鄗	hL1			
𫷷	5F3			
廋	5s6			
廆	BiV5			
鄌	1tiT			
粢	hHuV			
遆	zdE			
旐	fzuL			
𬮱	y2m			
焞	B3x			
𬊤	d2x			
欻	ryuV			
𣸣	p3E	pēn		
𣸣	f8E	fén		
溚	7iaE			
溁	Eru3			
湝	xuVE			
渰	E4i2			
湓	p8E			
㴔	Enuo			
渟	Et8			
溠	EDo			
渼	miVE			
溇	El6			
湣	Ebmi8			
湑	xAE			
溞	nuLE			
愐	mi2Y			
愃	Yxu2			
敩	xuer			
甯	fn8			
棨	cqua			
扊	pyuV			
裣	j2u			
祼	liou			-
祼	liot	旧拼写	-	-
婻	An2			
媆	AfnuY			
媆	AnuYf	旧拼写	-	-
媞	ti6A			
㛹	pi2A			
媓	AfiT			
媂	AdE			
媄	miVA			
毵	jk2			
矞	tiYH			
𬴃	gh1			
𫘨	ti6g			
缊	vi3a			
缊	wi3a	旧拼写	-	-
缐	aquo			
骙	gciV			
瑃	3Du8			
瑓	ve3			
瑅	ti63			
瑆	3x8			
䴖	N8n			
瑖	3F2			
瑝	3fiT			
瑔	3quo			
瑀	kT3			
𤧛	3dE			
瑳	3Do			
瑂	3miV			
嶅	4iLw			
瑑	3tV			
遘	g6z			
髢	jDE			
塥	Bed			
堽	giTd			
赪	hci8			
赪	Dci8	旧拼写	-	-
摛	8viV			
塝	bTd			
搒	bT8			
搌	Hu28			
蒱	ybA8			
蒱	piAy	旧拼写	-	-
蒨	y4ue			
蓏	yBa			
蔀	kiay			
蓢	yvT			
蓂	m8y			
蒻	yruo			
蓣	yr7L			
蓣	7oy	旧拼写	-	-
椹	cki2			
楪	diec			
榃	li84			
榃	ctie	旧拼写	-	-
榅	vi3c			
楒	cnua			
楞	l8c			
楩	pi2c			
榇	cFi8			
椸	ctof			
楙	ccmiY			
楙	cmiYc	旧拼写	-	-
歅	y2r			
𬪩	4n3			
碃	sq8			
碏	5i6s			
𬒔	sk8			
碈	sfi8			
䃅	d2s			
硿	sk3			
鄠	1wia6			
辒	w8q			
𬨎	qu6q			
𫐓	qr6			
龆	sLjH			
觜	ruVH			
䣘	1tT			
暕	juVb			
鹍	nc8			
𫫇	4oo			
㬊	yu2bH			
暅	bgi8Y			
暅	bf6Y	旧拼写	-	-
跱	HuaD			
蜐	klFiV			
蜎	ju2k			
嵲	nVw			
赗	mLx			
骱	jje			
锖	N8N			
𫓹	NqE			
锘	nuoN			
锳	Nnu3			
锧	NHE			
锪	hAN			
𬭚	B3N			
锫	piVN			
锬	t2N			
𬭛	Nbio			
稑	hvie			
稙	hH6			
䅟	hD2			
𬕂	2xg3			
筻	2gi8			
筼	27i2			
筶	2giL			
筦	wT2			
筤	lT2			
傺	NoV			
鹎	nbV			
僇	vLV			
艅	q7io			
艉	qwe			
谼	hi3w			
谼	hi3h	旧拼写	-	-
貆	f6v			
腽	vi3e			
腽	wi3e	旧拼写	-	-
腨	DuYe			
腯	F8e			
鲉	Byu6			
鲊	Bza			
鲌	piYB			
䲟	nu8B			
𬶋	Bgi6			
𬶍	tioB			
鲏	piLB			
雊	Fon			
猺	yLv			
飔	bnua			
觟	wa7			
𦝼	el6			
馌	foL			
裛	5iLu			
廒	4iL5			
瘀	t7iL			
瘅	d2tH			
鄘	yu31			
鹒	g8n			
鄜	1vio			
麀	tvio			
鄣	zT1H			
阘	tam			
𫔶	nVm			
煁	xki2			
煃	xcV			
煴	w8x			
煋	xx8			
煟	xwie			
煓	DuYx			
滠	seE			
溍	j3E			
溹	Eso			
溹	Eflia	旧拼写	-	-
滆	BeE			
滉	fiTE			
溦	wiLE			
溵	E7i8			
漷	gioE			
滧	ExLr			
滘	EfgiL			
滍	HeE			
愭	NiLY			
慥	YBL			
慆	YtL			
塱	dvT			
𫌀	uze			
裼	u5iT			
禋	y2u			
禋	y2t	旧拼写	-	-
禔	usE			
禔	tsE	旧拼写	-	-
禘	udE			
禘	tdE	旧拼写	-	-
禒	utV			
禒	ttV	旧拼写	-	-
谫	iljuV			
鹔	nc6			
𫖳	rju8			
愍	Fmi8			
嫄	Ayu2			
媱	yLA			
戤	Hu3l			
勠	vLlH			
戣	lciV			
𫘪	gyu2H			
𫘬	g5i6			
缞	DVa			
耤	NY7			
瑧	Hu83			
𫞩	m23			
瑨	j33			
瑱	7ie3	tiàn		
瑱	3Hu8	zhēn		
瑷	4Y3			
瑢	3r3			
斠	7be			
摏	8Du8			
墕	yYd			
墈	dlki2			
墐	Ni3d			
墘	dhYl			
墘	dge7	旧拼写	-	-
摴	86wia			
銎	Ng3f			
𡐓	dkiT			
墚	vTd			
撖	fiY8			
𪤗	mi6d			
靽	qbiT			
鞁	piLx			
蔌	c6y			
蔈	ypiL			
蓰	56y			
蔹	li2y			
蔊	yxh2			
嘏	bgA	gǔ		
嘏	juab	jiǎ		
嘏	juaB	旧拼写	-	-
榰	NiLc			
榑	bioc			
槚	cgiA			
𣗋	dTc			
槜	c5ie			
榍	cpxL			
疐	7E			
𬸘	yon			
酺	hiA4			
酾	4viY			
酲	4B8			
酴	47ioH			
碶	sqV			
䃎	4uas			
𬒗	sv2			
碨	wLs			
𥔲	s4o			
𥔲	4es	旧拼写	-	-
碹	sxu2			
碥	sbi2			
劂	ljue			
𫚖	HuLB			
䴗	nHjA			
䴗	n5iV	旧拼写	-	-
夥	hdo			
瞍	Ts6			
鹖	Nen			
㬎	xYH			
跽	DFNia			
蜾	kiek			
幖	biLp			
嶍	5iaw			
圙	mi2m			
𨱏	7iaN			
锺	Nzu3			
锼	Ns6			
锽	NfiT			
𬭤	Nhi6			
锾	yu2N			
锿	N4iY			
镃	HVN			
镄	fVN			
镅	NmiV			
馝	hb6			
馝	hb6H	旧拼写	-	-
鹙	nqu6			
箨	2ze8			
箖	li82			
劄	lda2			
僬	VjuL			
僦	j6V			
僔	Vzu8			
僎	zu2V			
槃	pec			
㙦	d77io			
鲒	jeB			
鲕	BnuY			
𫚕	BnuV			
鲖	Bt3			
鲗	BDe			
鲘	Bh6			
鲙	BcY			
𬶐	BzuL			
𬶏	wiVB			
𬶏	BVB	旧拼写	-	-
𩽾	BNi2			
夐	Hx3			
夐	lxua	旧拼写	-	-
獍	vj8			
飗	bli6			
𬸚	n7Y			
凘	EnuTH			
凘	EnuTE	旧拼写	-	-
廑	Ni35			
廙	NiV5			
瘗	tvie			
瘥	tDo			
瘕	juat			
鲝	ByuT			
鄫	D81			
熇	xgL			
漹	yYE			
漖	ExuLr			
潆	Enu3u			
漤	v6E			
潩	NiVE			
漼	EDuV			
漴	EBi3w			
漴	Bi3Ew	旧拼写	-	-
㽏	TqaE			
漈	NoE			
漋	Eli3			
漻	vLE			
慬	Ni3Y			
窬	f7o			
窭	fl6			
㮾	cvTH			
𬤝	ife			
褕	u7o			
禛	uHu8			
禛	tHu8	旧拼写	-	-
禚	gLu			
禚	gLt	旧拼写	-	-
隩	14L			
嫕	ANiVF			
嫭	hi6A			
嫜	zTA			
嫪	vLA			
𬙂	ti3a			
㻬	36wia			
麹	NAh			-
璆	mi63			
漦	lE6			
漦	lEE	旧拼写	-	-
叇	diY6			
墣	piAd			
墦	dfi2			
墡	dci2			
墡	dc2	旧拼写	-	-
劐	hol			
薁	y4L			
蕰	ywi3E			
蔃	yqT			
鼒	7DY			
槱	5i8c			
鹝	BenH			
磏	sjY			
磉	ssT			
殣	Ni3t			
慭	FvlY			
霅	67iY			
暵	fEb			
暲	zTb			
暶	bxuV			
踦	NiYD			
踣	piVD			
䗖	kdiY			
蝘	yok			
蝲	kla			
蝲	nuak	旧拼写	-	-
蝤	qu6k			
噇	7iTo			
噂	ozu8			
噀	zu2o			
罶	4li6			
嶲	w5ie			
嶓	wp2			
㠇	j6w			
嶟	wzu8			
嶒	D8w			
镆	Nmo			
镈	bioN			
镋	dTN			
镎	nuaN			
镎	Nhaj	旧拼写	-	-
镎	Nha8	旧拼写	-	-
𬭩	Nw3			
镕	Nr3			
稹	hHu8			
儇	fi2V			
皞	giLb			
皛	5i2b			
䴘	g1n			
艎	qfiT			
艏	dLq			
鹟	nw3			
𩾃	Bmi2			
鲦	BtiL			
鲪	Bju8			
鲬	Byu3			
橥	czAv			
橥	HAc	旧拼写	-	-
觭	7Ni6			
鹠	nli6			
鹡	n4T			
鹡	nNT	旧拼写	-	-
糇	hhi6			
糈	xAh			
翦	njuV			
鹢	n5iY			
鹣	quVn			
熛	biLx			
潖	paE			
潵	EsuaH			
潵	Esua	旧拼写	-	-
㵐	Ejue			
澂	EwiL3			
澛	voE			
瑬	3li6E			
潽	EpA			
潾	v8E			
潏	tiYE			
憭	liLY			
憕	Yd8			
𬸣	qYn			
戭	ti3l			
褯	N2u			
禤	tauH			
禤	tau	旧拼写	-	-
禤	tat	旧拼写	-	-
𫍽	fi2i			
嫽	liLA			
遹	tiYz			
𬴊	v8g			
璥	3ki8			
璲	3sV			
璒	3d8			
憙	F5o			
擐	fi28			
鄹	1r6v			
薳	yztiV			
鞔	qmi2			
黇	diVh			
黇	n2h	旧拼写	-	-
𬞟	ypi3			
蕗	yvo			
薢	yxe			
蕹	w3y			
橞	cfe			
橑	liLc			
橦	cti3			
醑	xA4			
觱	7f6			
磡	ski2			
𥕢	sDL			
磜	Nos			
豮	p3v			
𫟦	qsV			
𬺈	jNi6			
𫠜	nEj			
鹾	4Do			
虤	2hiL			
暿	b5o			
曌	bk3			
曈	bti3			
㬚	Deb			
蹅	DDua			
踶	ti6D			
䗛	ky6e			
螗	ktiT			
疁	mi64			
㠓	wm3			
幪	pm3			
𪩘	w52			
嶦	wHu2			
𬭬	fiVN			
𨱑	hiTN			
𬭯	pieNH			
馞	hbo			
穄	Noh			
篚	2mfV			
篯	2juYN			
簉	2BL			
鼽	Tju6			
鼽	jju6	旧拼写	-	-
衠	7iemH			
盦	4piV			
螣	t8k			
縢	t8u			
縢	t8a	旧拼写	-	-
鲭	Bq8			
鲯	BqE			
鲰	r6B			
鲺	B78k			
鲺	BsEk	旧拼写	-	-
鲹	BD2			
𫗴	ci2L			
亸	B34H			
癀	hiTt			
